translation,label,channel,sample_rate,duration
የተለያዩ የ ትግራይ አውራጃ ተወላጆች ገንዘባቸው ን አዋጥ ተው የ ልማት ተቋማትን እንዲ መሰርቱ ትልማ አይ ፈቅድ ም,tr_10000_tr097082,1,8000,9.088
የ ጠመንጃ ተኩስ ተከፈተ ና አራት የኤርትራ ወታደሮች ተገደሉ,tr_10001_tr097083,1,8000,5.632
ላነሷቸው ጥያቄዎች የ ሰጡት ን መልስ አቅርበ ነዋል,tr_10002_tr097084,1,8000,6.144
እ ብዱ አስፋልቱ ላይ የ ኰለኰ ለ ው ድንጋይ መኪና አላ ሳልፍ አለ,tr_10003_tr097085,1,8000,5.76
ጠጁ ን ኰ መኰ መ ኰ መኰ መ ና ሚስቱ ን ሲ ያሰቃ ያት አደረ,tr_10004_tr097086,1,8000,5.376
ድንቹ በ ደንብ ስለተኰተኰተ በ ጥሩ ሁኔታ ኰረተ,tr_10005_tr097087,1,8000,6.656
በ ድህነቱ ላይ ይህ ክፉ በሽታ ስለ ያዘው ሰውነቱ በጣም ኰ ሰሰ,tr_10006_tr097088,1,8000,6.528
በሩን እንዲ ህ በ ሀይል አታንኳኲ ብዬ አልነበረ ም እንዴ,tr_10007_tr097089,1,8000,5.504
በለጠ ች የ በየነ የ በኩር ልጅ ነች,tr_10008_tr097090,1,8000,4.48
የ ቆላ ቁስል ና ቁርጥ ማት በጣም አሰቃቂ በሽታዎች ናቸው,tr_10009_tr097091,1,8000,4.864
ያ ኮምፒ ተር ለ ተጠቃሚው በ ትክክል የሚ ፈለገው ን ነገር እንዲ ያሟላ ማድረግ ነው,tr_1000_tr11001,1,8000,7.552
ባድመ ላይ ያለቀው የኤርትራ ወታደር ስፍር ቁጥር የ ለውም,tr_10010_tr097092,1,8000,5.504
እንዲያ መሬት አይ ን ካ ኝ ይል የነበረ ሰው በ ድንገት ቆረቆዘ አይደል,tr_10011_tr097093,1,8000,6.016
አንበሳው ስጋ ስላ የ አጉረመረ መ,tr_10012_tr097094,1,8000,3.328
ሸክላ ሰሪዋ አ ለሚ ቱ በ ጉልቻ ስራ የታወቀች ነች,tr_10013_tr097095,1,8000,5.504
የተፈራ አተር ቀድሞ ስለ ተዘራ ተ ሎ ጐመራ,tr_10014_tr097096,1,8000,4.864
ባልቻ ጐበዝ ተማሪ ስለሆነ ተሸላሚ እንዲሆን የ ትምህርት ማህበረሰብ በ አንድነት ወሰኑ,tr_10015_tr097097,1,8000,7.68
በ ና ዝሪ ት ከተማ ውስጥ ከሚገኙ ት ቤቶች ሁሉ ጉል ሁ የ ኡመር ቤት ነው,tr_10016_tr097098,1,8000,6.912
ጐስቋላ ው ዳም ጤ ሎተሪ ደረሰው,tr_10017_tr097099,1,8000,3.84
ከበደ ፈረሱ ን ለ ጐመ,tr_10018_tr097100,1,8000,3.2
ትንሽ ልጅ እንጀራ በ ዶሮ ወጥ ከ በላ በኋላ አፉ ን በ ደም ብ ተጉ መጠመጠ,tr_10019_tr097101,1,8000,6.528
ስዊድን ከ ኢትዮጵያ ጋር ያላትን ግንኙነት አስመልክቶ አዲስ የ ትብብር ስልት መነደፉ ን አምባሳደሩ ገልጸዋል,tr_1001_tr11002,1,8000,9.344
ገንፎ ብዙ ጊዜ የሚ በላው በ ጐድጓዳ ሳ ህን ነው,tr_10020_tr097102,1,8000,4.608
አበራሽ የ ሰፈሩ ነገር ቆስቋሽ መሆኗ የ ታወቀ ነው,tr_10021_tr097103,1,8000,5.12
ቤዛ ጐረ መሰ መሰለኝ ትዛዝ አል ቀበል ም አለ,tr_10022_tr097104,1,8000,3.584
እጀ ጐልዳ ፋው ሰው ዬ መጻፍ አይችልም,tr_10023_tr097105,1,8000,3.584
ተድላ በልጅነ ቱ ቆረ በ,tr_10024_tr097106,1,8000,3.328
ወይዘሮ ባ ፋና በ እን ጉር ጉ ሯቸው የ ታወቁ ናቸው,tr_10025_tr097107,1,8000,4.992
ሰውዬው ሚስቱ ን በጣም እንደሚ ወድ በ ለ ሆሳ ስ ነገራት,tr_10026_tr097108,1,8000,5.632
ዛሬ የ በላ ና ት ቀይ ወጥ ሁ ርጥ ያለች ና ት,tr_10027_tr097109,1,8000,4.352
አ በ በ ለ ዶክተሩ ሁለመና ዬን ነው የሚያመ ኝ ብሎ ነገረው,tr_10028_tr097110,1,8000,4.608
የ ቻይና ህዝብ ሁ ልቆ መሳፍርት የ ለውም,tr_10029_tr097111,1,8000,3.328
ሌላው ኢትዮጵያዊ ስ ሊ ሽ ሽ ኔ ስድስተኛ ከ መውጣቱ ጋር ተዳ ም ሮ ኢትዮጵያ ኬንያ ን ተከትላ በ ወጣት ወንዶች በ ቡድን ሁለተኛ ለ መሆን ች ላለች,tr_1002_tr11003,1,8000,11.904
ዘነበ ች ሰራተኛዋ ን አታ ን ጓጉ ብላ ተቆጣ ቻት,tr_10030_tr097112,1,8000,4.608
ት ግስት እህቷ ን ስት ጓጉ ክረ ሚ እንጂ የኔ ን አይነት ሀብል አይገዛ ልሽ ም አለ ቻት,tr_10031_tr097113,1,8000,7.808
አንቺ ልጅ ያ የ ሽውን ነገር ሁሉ ለ ማግኘት አት ጓጉ,tr_10032_tr097114,1,8000,4.736
ኢትዮጵያ ክርስትና ን የ ተቀበለችው በዛ ጔ ስረ ወ መንግስት ነው,tr_10033_tr097115,1,8000,5.248
መጋቢ ብሉይ ተክለ ማሪያም የተወለዱ ት ዳ ጔ ነው,tr_10034_tr097116,1,8000,5.76
አሊ በ ረሀብ ኩ ርምት ብሏል,tr_10035_tr097117,1,8000,3.584
የ ሰርጉ ወጥ ኩ ችም ተደርጐ ነው የ ተሰራው,tr_10036_tr097118,1,8000,3.328
መ ምሩ እንዳስ ተማሩት ከሆነ ህጻናቶች ም ንም ኩነኔ የ ለ ባቸውም,tr_10037_tr097119,1,8000,7.168
ስ ትመለ ሺ በሩን አንኳ ኲ,tr_10038_tr097120,1,8000,3.2
በ መጀመሪያ ደረጃ ወራሪ ሆኖ የ ኢትዮጵያ ግዛት ን መያዙ ን አምኖ ለ መውጣት ተስማም ቷል,tr_10039_tr098001,1,8000,5.504
መለፍለፍ ራሱ ዲሞክራሲያዊ መብት ነው,tr_1003_tr11004,1,8000,4.736
መለስ ና ኢሳያስ ማስጠንቀቂያ ደረሳቸው,tr_10040_tr098002,1,8000,3.712
የኤርትራ ባንዲራ ይውረድ ተብሎ ኤምባሲ ተደበደበ,tr_10041_tr098003,1,8000,4.096
ኢትዮጵያ ን መብት እንደሌላ ት አድርገው ለማቅረብ ሞክረ ዋል,tr_10042_tr098004,1,8000,3.456
የ ጋና ው ፕሬዚዳንት ኢትዮጵያ ና ኤርትራ የ ድንበር ው ዝግባ ቸውን በ ሰላም እንዲ ፈቱ ጥሪ ማቅረባቸው ተገለጠ,tr_10043_tr098005,1,8000,5.504
እሳት አደጋዎች በተ ጠንቀቅ ላይ ናቸው,tr_10044_tr098006,1,8000,2.816
በ አሁኑ ሰአት የቤተ ክርስቲያን ሊቃውንት እንዴት እንደ ተ ና ቁና እንደ ተጠሉ ም ሳይ ናገሩ አ ላለፉ ም,tr_10045_tr098007,1,8000,6.272
